0.177,0.147,0.121,0.103,0.083,0.031,0.028,0.026,0.024,0.023,0.407,0.44,0.475,0.49,0.479,41.94,72.163,120.323,193.82,265.272,5.07,6.504,8.13,10.168,12.174,0.001,0.001,0.001,0.001,0.001,0.924,0.869,0.778,0.635,0.472,1
0.301,0.247,0.207,0.181,0.164,0.07,0.063,0.058,0.056,0.055,0.143,0.157,0.17,0.175,0.171,11.265,19.358,29.913,41.623,48.885,2.646,3.461,4.268,5.046,5.495,0.005,0.004,0.003,0.003,0.003,0.816,0.683,0.506,0.303,0.186,1
0.546,0.442,0.354,0.28,0.202,0.082,0.07,0.061,0.055,0.051,0.109,0.129,0.156,0.176,0.182,2.154,4.238,8.182,14.856,29.14,1.109,1.581,2.203,2.985,4.279,0.007,0.005,0.004,0.003,0.003,0.986,0.972,0.946,0.907,0.836,1
0.472,0.392,0.325,0.28,0.25,0.115,0.103,0.094,0.089,0.087,0.072,0.081,0.091,0.097,0.099,3.407,5.893,9.387,13.641,18.826,1.423,1.889,2.411,2.918,3.404,0.013,0.011,0.009,0.008,0.008,0.87,0.774,0.636,0.462,0.248,1
0.464,0.362,0.286,0.23,0.197,0.093,0.079,0.07,0.065,0.063,0.089,0.104,0.123,0.133,0.135,3.506,7.329,13.476,21.465,30.462,1.451,2.113,2.877,3.667,4.396,0.009,0.006,0.005,0.004,0.004,0.933,0.859,0.736,0.568,0.375,1
0.558,0.458,0.379,0.33,0.298,0.142,0.122,0.109,0.102,0.098,0.052,0.06,0.069,0.071,0.072,1.924,3.749,6.557,9.351,11.607,1.053,1.494,1.991,2.392,2.693,0.02,0.015,0.012,0.01,0.01,0.889,0.784,0.623,0.466,0.343,1
0.504,0.414,0.337,0.278,0.239,0.101,0.088,0.078,0.07,0.065,0.074,0.086,0.098,0.109,0.115,2.746,4.938,8.279,13.493,20.794,1.27,1.73,2.274,2.914,3.589,0.01,0.008,0.006,0.005,0.004,0.938,0.888,0.813,0.696,0.532,1
0.519,0.42,0.338,0.29,0.247,0.114,0.098,0.087,0.081,0.078,0.077,0.092,0.109,0.117,0.113,2.518,5.069,9.279,14.134,19.951,1.211,1.731,2.358,2.908,3.48,0.013,0.01,0.007,0.007,0.006,0.928,0.855,0.734,0.591,0.405,1
0.581,0.485,0.406,0.342,0.294,0.134,0.116,0.103,0.093,0.088,0.067,0.077,0.087,0.091,0.091,1.88,3.609,6.238,9.543,12.796,1.002,1.41,1.874,2.353,2.788,0.018,0.013,0.011,0.009,0.008,0.929,0.864,0.762,0.634,0.511,1
0.559,0.451,0.357,0.286,0.227,0.103,0.088,0.076,0.068,0.064,0.07,0.084,0.1,0.111,0.115,1.961,3.951,7.567,13.538,23.065,1.058,1.534,2.151,2.899,3.815,0.011,0.008,0.006,0.005,0.004,0.965,0.929,0.863,0.754,0.589,1
0.447,0.335,0.246,0.175,0.134,0.073,0.06,0.05,0.043,0.04,0.155,0.184,0.221,0.24,0.244,4.648,11.451,25.447,48.828,84.47,1.608,2.511,3.783,5.39,7.168,0.005,0.004,0.002,0.002,0.002,0.969,0.922,0.825,0.655,0.385,1
0.517,0.414,0.323,0.241,0.151,0.07,0.06,0.053,0.048,0.043,0.136,0.157,0.184,0.207,0.215,2.529,4.986,9.563,19.205,47.662,1.216,1.735,2.431,3.474,5.597,0.005,0.004,0.003,0.002,0.002,0.993,0.986,0.975,0.957,0.913,1
0.562,0.449,0.361,0.313,0.3,0.145,0.124,0.11,0.105,0.103,0.061,0.072,0.085,0.089,0.087,1.932,3.987,7.543,11.28,13.51,1.047,1.538,2.131,2.597,2.814,0.021,0.015,0.012,0.011,0.011,0.905,0.804,0.628,0.439,0.331,1
0.5,0.419,0.35,0.296,0.25,0.107,0.095,0.086,0.08,0.076,0.081,0.093,0.106,0.112,0.113,2.789,4.878,8.09,12.343,18.66,1.283,1.712,2.215,2.75,3.387,0.011,0.009,0.007,0.006,0.006,0.929,0.875,0.789,0.667,0.478,1
0.615,0.523,0.444,0.367,0.274,0.114,0.101,0.091,0.083,0.08,0.061,0.071,0.082,0.089,0.094,1.364,2.419,4.052,6.813,12.255,0.869,1.189,1.559,2.046,2.834,0.013,0.01,0.008,0.007,0.006,0.978,0.961,0.936,0.898,0.846,1
0.55,0.44,0.352,0.296,0.259,0.126,0.107,0.094,0.086,0.081,0.067,0.077,0.087,0.092,0.094,2.147,4.317,7.958,12.274,17.401,1.096,1.595,2.193,2.755,3.281,0.016,0.011,0.009,0.007,0.007,0.916,0.83,0.686,0.516,0.322,1
0.527,0.424,0.344,0.308,0.276,0.131,0.112,0.1,0.096,0.092,0.071,0.083,0.095,0.096,0.091,2.439,5.086,9.179,12.27,15.196,1.185,1.721,2.322,2.695,3.029,0.017,0.013,0.01,0.009,0.009,0.897,0.784,0.609,0.473,0.323,1
0.601,0.501,0.414,0.341,0.276,0.127,0.109,0.096,0.086,0.08,0.056,0.065,0.076,0.084,0.089,1.508,2.898,5.228,8.729,13.886,0.914,1.295,1.763,2.303,2.949,0.016,0.012,0.009,0.007,0.006,0.956,0.915,0.847,0.746,0.599,1
0.527,0.417,0.335,0.287,0.249,0.11,0.093,0.082,0.076,0.074,0.072,0.085,0.098,0.105,0.104,2.341,4.934,9.042,13.302,18.069,1.17,1.72,2.34,2.858,3.37,0.012,0.009,0.007,0.006,0.005,0.937,0.867,0.755,0.634,0.503,1
0.525,0.463,0.413,0.365,0.331,0.153,0.141,0.132,0.125,0.121,0.042,0.047,0.051,0.052,0.053,2.391,3.574,4.988,6.904,8.73,1.183,1.463,1.738,2.063,2.34,0.023,0.02,0.018,0.016,0.015,0.786,0.679,0.55,0.378,0.222,1
0.543,0.439,0.354,0.295,0.243,0.104,0.089,0.079,0.073,0.072,0.08,0.093,0.11,0.12,0.122,2.123,4.225,7.53,11.888,18.601,1.11,1.591,2.152,2.73,3.44,0.011,0.008,0.006,0.005,0.005,0.964,0.927,0.87,0.796,0.697,1
0.549,0.444,0.356,0.282,0.234,0.121,0.103,0.089,0.081,0.077,0.078,0.091,0.105,0.111,0.114,2.428,4.881,8.977,14.644,21.421,1.126,1.632,2.26,2.969,3.645,0.015,0.011,0.008,0.007,0.006,0.935,0.87,0.76,0.608,0.428,1
0.494,0.424,0.369,0.326,0.287,0.127,0.116,0.108,0.102,0.099,0.069,0.078,0.087,0.09,0.09,3.004,4.974,7.712,11.298,14.633,1.32,1.702,2.112,2.543,2.929,0.016,0.013,0.012,0.01,0.01,0.868,0.78,0.656,0.49,0.329,1
0.542,0.436,0.355,0.297,0.253,0.109,0.093,0.083,0.077,0.075,0.08,0.094,0.112,0.121,0.121,2.245,4.431,7.792,12.009,18.416,1.128,1.623,2.179,2.728,3.368,0.012,0.009,0.007,0.006,0.006,0.953,0.907,0.835,0.739,0.603,1
0.586,0.482,0.385,0.317,0.273,0.141,0.121,0.105,0.094,0.09,0.059,0.07,0.083,0.088,0.087,1.682,3.273,6.346,10.686,14.966,0.966,1.382,1.949,2.543,3.024,0.02,0.015,0.011,0.009,0.008,0.924,0.853,0.715,0.521,0.334,1
0.535,0.412,0.32,0.264,0.236,0.115,0.096,0.083,0.076,0.072,0.077,0.092,0.111,0.119,0.119,2.368,5.323,10.36,16.674,23.258,1.158,1.775,2.505,3.188,3.725,0.013,0.009,0.007,0.006,0.005,0.941,0.867,0.739,0.576,0.401,1
0.298,0.236,0.19,0.162,0.14,0.059,0.052,0.047,0.044,0.042,0.175,0.197,0.221,0.232,0.229,11.745,22.152,37.8,59.22,77.021,2.701,3.683,4.778,5.953,6.891,0.004,0.003,0.002,0.002,0.002,0.89,0.791,0.642,0.437,0.271,1
0.477,0.369,0.287,0.224,0.176,0.093,0.079,0.068,0.06,0.055,0.102,0.121,0.142,0.153,0.156,3.365,7.221,14.667,26.71,42.485,1.405,2.073,2.95,4.001,5.152,0.009,0.006,0.005,0.004,0.003,0.942,0.876,0.748,0.541,0.278,1
